fid,Zones,N,P,K,OC,N_Lab,P_Lab,K_Lab,OC_Lab
60940,Fine ,200.1,22.7,190.3,0.36,258,24.55,340.9,0.74
60940,Medium ,217.9,22.55,201.9,0.37,229,23.7,258.2,0.57
60940,Coarse ,203,23,189.4,0.37,200.67,21.97,231.93,0.35
60941,Fine ,204.8,22.22,191.1,0.44,265.5,24.45,260.85,0.505
60941,Coarse ,185.3,23.6,188.13,0.37,241,20.05,129.5,0.6
60942,Fine ,210,22.1,189.2,0.5,278.5,22.7,382.3,0.5
60942,Medium ,195.7,22.8,188.98,0.46,228,25.9,327.5,0.54
60942,Coarse ,207.5,22.1,190.1,0.49,221.5,23.3,217.75,0.54
60943,Fine ,253.1,22.48,190.1,0.52,249,24.85,288.75,0.605
60943,Medium ,243.5,22.5,193.1,0.51,216,22.8,330.8,0.56
60943,Coarse ,230.4,22.2,181.5,0.49,244.5,24.6,267.9,0.38
61040,Fine ,194.7,14.6,167.3,0.43,350,23.7,171.7,0.62
61040,Medium ,198.9,15.84,171.6,0.42,300,21,163.7,0.57
61040,Coarse ,201.6,15.85,169.7,0.43,244,18.9,156.7,0.48
61041,Fine ,216.2,18.71,214.2,0.19,242,18.3,296.2,0.65
61041,Medium ,217.4,18.7,210,0.2,244,22.5,305.5,0.73
61041,Coarse ,215.6,19,212.99,0.18,220,25.3,283.7,0.73
61042,Fine ,215.9,33.46,285.2,0.34,256.5,15.18,73.7,0.26
61042,Medium ,220.7,35.7,294.81,0.35,228,6.94,51,0.3
61042,Coarse ,217.2,42.75,288.6,0.33,298,5.86,48.29,0.22
61043,Fine ,222.2,32.8,233,0.49,332,55.65,178.85,0.365
61043,Coarse ,208.9,32.3,227.4,0.48,363,48.15,126.5,0.345
61044,Fine ,204.8,24.8,186.4,0.45,253,24.3,316.25,0.485
61044,Coarse ,207.9,29,191,0.44,231,23.55,134.4,0.345
63535,Fine ,265,27.12,194.56,0.32,482.39,23.74,127.14,0.78
63535,Medium ,259.6,25.49,183.74,0.31,277.68,23.49,173.19,0.76
63535,Coarse ,246.18,24.61,183.74,0.31,580.85,21.175,106.365,0.685
63534,Fine ,275.595,35.98,226.45,0.535,289.31,168.7,50.87,0.58
63534,Medium ,275.73,32.51,216.64,0.51,411.33,128.21,72.39,0.58
63534,Coarse ,276.505,33.085,218.68,0.525,440.205,135.94,60.035,0.605
63537,Fine ,283.39,27.81,187.03,0.55,458.6,47.215,46.665,0.67
63537,Medium ,305.78,23.17,199.98,0.51,347.95,21.34,40.97,0.58
63537,Coarse ,279.38,26.1,187.59,0.53,339.58,21.7,36.15,0.6
63532,Fine ,288.4,34.07,211.98,0.35,295.3,124.6,93.81,0.87
63532,Medium ,285.17,30.38,208.26,0.37,304.125,29.465,140.61,0.86
63532,Coarse ,289.58,28.78,224.15,0.37,364.33,19.15,181.21,0.94
63538,Fine ,289.28,24.29,300.65,0.47,235.48,23.59,182.915,0.775
63538,Medium ,277.51,25.04,299.77,0.43,231.43,4.04,297.13,0.86
63538,Coarse ,281.46,22.45,298.26,0.45,269.93,10.59,277.31,0.94
63536,Fine ,215.9,33.46,285.2,0.34,256.5,15.18,73.7,0.26
63536,Medium ,220.7,35.7,294.81,0.35,228,6.94,51,0.3
63536,Coarse ,217.2,42.75,288.6,0.33,298,5.86,48.29,0.22
63533,Fine ,290.83,33.94,286.78,0.99,369.5,39.555,143.985,0.385
63533,Medium ,279.05,30.51,284.73,0.97,299,44.37,181.37,0.49
63533,Coarse ,293.08,32.92,271.22,0.97,487,38.25,147.9,0.51